iter	Logloss
0	0.6753775631
1	0.6576439106
2	0.6383015747
3	0.6229163461
4	0.6080379759
5	0.594840484
6	0.5783923918
7	0.5601058032
8	0.5461335723
9	0.532568605
10	0.5165592438
11	0.4994260465
12	0.4875019235
13	0.473260783
14	0.457340491
15	0.4450017125
16	0.4327213574
17	0.4219249556
18	0.4094409484
19	0.3984360087
20	0.3873789482
21	0.3765085061
22	0.366448532
23	0.3562711645
24	0.3480179733
25	0.3390679973
26	0.3313534917
27	0.3231599535
28	0.3135340895
29	0.3065393998
30	0.3004065139
31	0.2932984163
32	0.2855698462
33	0.2794227184
34	0.2720989436
35	0.2668205873
36	0.261054191
37	0.256150251
38	0.2511446643
39	0.2465315013
40	0.2423094365
41	0.2356141386
42	0.2300372182
43	0.2252154602
44	0.2201587675
45	0.2146415693
46	0.2093313224
47	0.2040915037
48	0.1988627005
49	0.1955996448
50	0.1913162401
51	0.1878592292
52	0.1842716304
53	0.1805801795
54	0.1771571216
55	0.1739978143
56	0.1709098357
57	0.1674048449
58	0.1643956996
59	0.1609128955
60	0.1579121439
61	0.1543463571
62	0.1512097212
63	0.1485046648
64	0.1462248951
65	0.1437831263
66	0.1417417211
67	0.1397223038
68	0.1369447936
69	0.1341614666
70	0.1323748161
71	0.1305944193
72	0.1288533038
73	0.1264668789
74	0.1242577567
75	0.1224189823
76	0.1205801557
77	0.11908989
78	0.1171024804
79	0.1154130902
80	0.1133913226
81	0.1114756898
82	0.1095291442
83	0.1083912327
84	0.1069906471
85	0.1057417461
86	0.1043814904
87	0.1024262262
88	0.101161751
89	0.0997064979
90	0.09826908507
91	0.09636163563
92	0.09471882741
93	0.09315938812
94	0.09160483795
95	0.09041802382
96	0.08929546789
97	0.08809827584
98	0.08667730058
99	0.08516819741
100	0.08389265732
101	0.08277184601
102	0.08153174422
103	0.08082793171
104	0.0795132458
105	0.07826840642
106	0.07708423583
107	0.07592801263
108	0.07512552712
109	0.07442646389
110	0.07325836588
111	0.07216282328
112	0.07124534831
113	0.07054212901
114	0.06985836186
115	0.06871184004
116	0.06767783707
117	0.06695416325
118	0.06603028841
119	0.06512433924
120	0.06430996141
121	0.06337273777
122	0.06275406527
123	0.06221236829
124	0.06151347595
125	0.0607482197
126	0.05997009848
127	0.05912575542
128	0.05837583716
129	0.05766591054
130	0.05710024661
131	0.05637803056
132	0.05554245464
133	0.0549811844
134	0.05446845967
135	0.05397697003
136	0.05337690592
137	0.0526566872
138	0.05192827985
139	0.05137395235
140	0.05083915069
141	0.05035723031
142	0.04984243816
143	0.04938292015
144	0.04884543969
145	0.04839929998
146	0.04775573253
147	0.04719021912
148	0.04669180224
149	0.0462150095
150	0.04567629528
151	0.04513653011
152	0.04481256756
153	0.04442744937
154	0.04401888507
155	0.04354111531
156	0.04304368446
157	0.04256146467
158	0.04211242573
159	0.04185998886
160	0.04143529655
161	0.04102995219
162	0.04078819235
163	0.04039877832
164	0.03997544567
165	0.03954320628
166	0.0392281074
167	0.0388884803
168	0.03860658908
169	0.03829840599
170	0.03782673837
171	0.03752429446
172	0.03724803211
173	0.03689333525
174	0.0365562616
175	0.03628144376
176	0.03596295281
177	0.03557874982
178	0.03526513488
179	0.03498505377
180	0.03471504043
181	0.03434045145
182	0.03410066793
183	0.03387653575
184	0.03354524011
185	0.03321066697
186	0.03291022269
187	0.03249787487
188	0.03228573
189	0.03204340078
190	0.03178371422
191	0.03145893093
192	0.03123509194
193	0.03096429856
194	0.03068066878
195	0.03037864312
196	0.0301172582
197	0.02991889506
198	0.02961985156
199	0.02937443118
200	0.02916486461
201	0.02893693274
202	0.02871577698
203	0.02851647575
204	0.02829489014
205	0.02802813002
206	0.02780517933
207	0.0275939728
208	0.02737279586
209	0.0271251788
210	0.02693420705
211	0.02671817755
212	0.02655500494
213	0.02634666787
214	0.0262030649
215	0.02609401439
216	0.02592355484
217	0.02568347256
218	0.02553189742
219	0.02539767857
220	0.02522763155
221	0.02507337916
222	0.02494980848
223	0.02475296156
224	0.02457362449
225	0.02437996002
226	0.02423349614
227	0.02400576451
228	0.02377618419
229	0.02362031712
230	0.0234342878
231	0.02331748829
232	0.02316597542
233	0.02307863791
234	0.02295437738
235	0.02280204451
236	0.02268182394
237	0.02255503149
238	0.02240920795
239	0.02230475201
240	0.02215070705
241	0.02199258524
242	0.02189479126
243	0.02174914249
244	0.02160447198
245	0.02150530179
246	0.02136649336
247	0.0212694296
248	0.0211221414
249	0.02097384317
250	0.02088717126
251	0.020733114
252	0.02059618023
253	0.02043911149
254	0.02026652223
255	0.02012141202
256	0.01999580209
257	0.01987773808
258	0.01975720239
259	0.01966479285
260	0.01955073975
261	0.01944889714
262	0.01932667581
263	0.01921618344
264	0.01910807076
265	0.01896415394
266	0.01886578872
267	0.0187740434
268	0.0186576962
269	0.01851344903
